tweet_id,favorite_count,retweet_count
821407182352777218,12239,4538
821153421864615936,264,10
821149554670182400,9032,2099
821107785811234820,9969,2232
821044531881721856,13154,2395
820837357901512704,0,7052
820749716845686786,32792,10353
820690176645140481,12684,3381
820494788566847489,0,592
820446719150292993,0,2695
820314633777061888,3470,592
820078625395449857,20616,6566
820013781606658049,0,1239
819952236453363712,5536,1239
819924195358416896,13409,5103
819711362133872643,13992,3258
819588359383371776,9987,2073
819347104292290561,7510,1261
819238181065359361,2378,427
819227688460238848,24039,7052
819015337530290176,0,38599
819015331746349057,0,19829
819006400881917954,47079,19829
819004803107983360,90393,38599
818646164899774465,0,22002
818627210458333184,23279,7904
818614493328580609,10254,2701
818588835076603904,0,6454
818536468981415936,11373,2597
818307523543449600,0,8521
818259473185828864,11478,2397
818145370475810820,12782,2707
817908911860748288,5052,837
817827839487737858,53920,28453
817777686764523521,11174,2833
